<ticker>,<date>,<open>,<high>,<low>,<close>,<vol>
SABIC,20030814,28.9988,29.1488,28.9738,29.0988,116715
SABIC,20030813,29.3738,29.4738,29.0488,29.0738,339031
SABIC,20030812,29.0488,29.4988,28.9488,29.2238,1009400
SABIC,20030811,29.2488,29.2488,28.9988,29.0488,558911
SABIC,20030810,28.7988,29.2488,28.5989,29.2488,581897
SABIC,20030809,28.7239,28.9488,28.4989,28.7988,350514
SABIC,20030807,28.5489,28.7988,28.4739,28.6989,176624
SABIC,20030806,28.9988,28.9988,28.4489,28.6239,536544
SABIC,20030805,28.9488,29.1488,28.6739,28.8488,670723
SABIC,20030804,29.0988,29.4738,28.7988,28.7988,1820418
SABIC,20030803,29.3738,29.6988,28.9488,29.2988,2694255
SABIC,20030802,29.1738,29.5988,29.0988,29.3488,1908576
SABIC,20030731,28.4739,29.2988,28.2239,28.9488,1363564
SABIC,20030730,29.0988,29.1988,28.0989,28.3239,2382620
SABIC,20030729,27.5989,29.7988,26.8989,29.0238,6019179
SABIC,20030728,25.499,27.3489,25.474,27.3489,2674345
SABIC,20030727,25.549,25.699,25.299,25.499,523657
SABIC,20030726,25.649,25.749,25.299,25.449,607635
SABIC,20030724,24.999,25.749,24.999,25.599,542527
SABIC,20030723,25.399,26.224,24.899,25.224,2881317
SABIC,20030722,25.449,25.449,24.374,25.449,3251323
SABIC,20030721,22.5991,23.1491,22.4991,23.1491,3102901
SABIC,20030720,20.6492,21.3991,20.5992,21.0492,664116
SABIC,20030719,20.8242,21.0492,20.5492,20.7742,479357
SABIC,20030717,20.9992,21.0742,20.7492,20.9992,465339
SABIC,20030716,21.1992,21.4491,20.9242,20.9742,1533182
SABIC,20030715,21.6991,21.7741,21.0742,21.1492,1341370
SABIC,20030714,21.5241,21.7991,21.4241,21.6491,966340
